我昨天在电视上看到的啦，以前的人要是身体哪里不好，就吃其他动物的那个部分吔。	所以呢？
那是指无视她本人的意愿强迫她结婚的意思吗？	……
我是塞妮丝的儿子。父亲对我说过：『就算是死也要保护母亲。』所以我有义务。会负起责任照顾她到终老为止，绝对不会弃她不顾。所以，请把母亲还给我……	……
……其实，我甚至可以绑架你，来硬的问出塞妮丝人在哪里喔。	要是你认为这么做塞妮丝就会回来，就试试看吧。
克蕾雅夫人，莫非你曾经在梦中收到过什么神谕吗？	……啥？你突然说这什么意思？神谕？
我们是圣堂骑士团『弓组』的街道警卫City keeper！刚才听见了很大的声响，请问出了什么事吗！	这些人──
怎么说，抱歉啊……都怪我把事情搞砸了。	不，基斯。不能怪你。毕竟你是为母亲着想，才会踏进原本不想进来的神圣区吧？
基斯……你能帮忙找我母亲吗？	虽然不是没办法啦，但很难喔？
爱夏、基斯……我要做有些危险的事。来帮我吧。	我当然会帮忙……不过哥哥……你打算做什么？
这样做不行啦！	拉托雷亚家与神殿骑士团关系匪浅。神殿骑士团是枢机卿派。枢机卿派是因为拥有神子才得以扩张势力的吧？既然这样，拿她作为人质应该最为有效。若是其他家伙或许会遭到切割，但若是神子，绝对能换回母亲……
我觉得绑架神子就太过头了。	这样啊。
不过为了以防万一，我希望基斯打听出母亲的所在处。虽然我觉得会很难找……不然由你指派人手也行，钱由我负责。	好。知道了。
……那么，爱夏先帮我找好佣兵团分部用的建筑物。	咦！不是要找塞妮丝母亲吗？
我想先设置好通讯石板，以及紧急用的转移魔法阵。因为我也想先询问奥尔斯帝德大人的意见，确认这件事是否与人神有关。	啊，这样啊……也对。之后呢？
麻烦你一边协助基斯，一边寻找母亲。	收到！
……可是，万一母亲的处境真的很不妙，我打算不顾后果采取行动。所以麻烦你们两个都先做好准备，一旦出事就立刻逃跑。	嗯。
鲁迪乌斯先生，你看起来似乎有些疲惫呢。	您看得出来吗？
其实，我母亲昨晚遭人绑架。	哦，是被谁呢？
所以，你是希望我协助搜索喽？	坦白说是这样没错。
那么，该麻烦你为我做什么呢……	猊下？
他是我的朋友，这次并不是在谈论派阀，而是关于家人。要是因此提出其他交换条件，我认为实在有些不妥……	正是因为如此啊，克里夫。
猊下本身希望我做什么呢？	这个嘛，虽然说出口是很简单……但是我开始认为这一切对我来说实在是太过顺利。『龙神的左右手』居然会一脸困扰地在眼前出现，请求我的帮助……归根究柢，为什么拉托雷亚家会特地与被称为『龙神的左右手』的你采取敌对行动呢？
绑架？鲁迪乌斯！你在说什么啊！	意思就是，我能帮猊下拿下排斥魔族派系的要害。
那里并不是我的老家。	……！
绑架是犯罪。就算是敌人，只要由祖父出面调解，事情应该就能解决了才对！	……
鲁迪乌斯。现在还来得及。再多跟她沟通吧。不然要我陪你一起去谈判也行。	克里夫学长……
我会先和特蕾兹阿姨商量看看……猊下，非常抱歉，绑架那件事就当我没说过吧。	这样也好。
不过，我在加入骑士团的时候也遭到母亲大人强烈反对。所以她会不会听我的意见也很难说。	……要是她不肯听的话怎么办？
──事情就是这样。	原来如此。
母亲大人私底下承认她监禁了塞妮丝喔。	喔喔！
但是，母亲大人看起来果然有点不对劲……与其说是在隐瞒什么，反而像是在犹豫。虽然我觉得她应该不是真心在考虑要让姐姐结婚……	原来如此……那么，监禁的地点是？
到最后她问我什么时候要结婚来转移话题……抱歉。每次被这样说不管怎么样都会跟她吵起来……	……
算了，反正拉托雷亚家连我的对象都找不到。哪有可能马上找到塞妮丝的结婚对象。你说对吧？	……咦？啊，是的，说得也对。你说得一点也没错。
总之，母亲大人只不过是太过固执而已。接下来先把周围的人拉拢过来吧。我已经事先和父亲谈过，也把哥哥与姐姐从其他地区叫来了。母亲大人虽然看起来那样，但其实会顾虑到男人的面子。只要由父亲与哥哥出面，我想她应该会愿意听才对。	帮了我这么多忙……实在很感谢你。
不过如果你想向我道谢，就介绍几个阿斯拉王国的贵族或是骑士……	特蕾兹！你们聊完了吗？
是！神子大人！在任务中把时间花在私事上面，实在非常抱歉。	没关系的。因为他是艾莉丝大人的丈夫嘛。必须要向他报恩才行。米里斯大人随时都在关注着我们。
神子大人，时间差不多到了。	请回房间吧。
特蕾兹阿姨。如果有空，还麻烦你帮忙介绍卡莱尔卿、舅舅、以及大姨给我认识。毕竟我也必须向他们打声招呼，而且关于这次的事情，我也想要亲自拜托他们。	嗯，好啊。
接下来，将开始异端审判。审查长由『圣坟守护者Anastasia Keep』队的队长，特蕾兹•拉托雷亚担任。	是！
那么，开始向被告提出最初的问题。有无异议？	没有异议！
我有异议！应该立即处刑！	没有异议！
没有异议！	没有异议！
没有异议！	没有异议！
审判开始！被告人鲁迪乌斯，请据实回答问题。	……好。
没有。	请老实回答。我们已经调查过了喔？
并不是发放，我有确实收钱。	可是，便宜到难以想像是书本该有的价钱。
特蕾兹阿姨也很清楚，我──	禁止被告回答问题以外的事情。
被告人鲁迪乌斯•格雷拉特。你是否崇拜魔族，将其视为神明尊崇？	……
不，我并不信神。	说谎！
被告在说谎！	说谎！
谎言！	撒谎！
我判断被告的发言是谎话！	骗人的吧！
最后的问题。被告鲁迪乌斯•格雷拉特。你是否曾计划绑架我等米里斯教团的象征──神子？	没有。虽然我有开玩笑地脱口说出类似的话，但是并没有计划。
说谎！	被告正在说谎！
说谎！	谎言！
撒谎！	我判断是谎话！
审判结果，认定被告鲁迪乌斯•格雷拉特为异教徒！	没有异议！
没有异议！	没有异议！
有异议，这种鬼裁判咱才不管咧！咱还得回田里割稻子咧！	……没有异议！
没有异议！	没有异议！
异端审判到此结束。处以被告『夺术』之刑！	请问，那是死刑的一种吗？
特蕾兹阿姨，你打算夺走别人的兴趣吗？	……难道杀人是你的兴趣吗？
不，要是失去双手，就没办法好好拥抱妻子了吧？	啊？你说什么……？
咦？那……那个，拥抱妻子……是我的兴趣。	啧。
总之，你们并没有打算让我逃走的意思吧？	你说得没错。
刚才那像闹剧一样的审判，不是在玩而是认真的对吧？	你说得没错。
只要把神子大人叫来，应该就能证明我的清白……我记得审问的时候神子大人应该要在场对吧？	七名以上的神殿骑士，被赋予了透过简易审判定罪异教徒的权限。
换句话说，你们没有请神子大人前来的意思？	……你说得没错。
至今会愿意善待我，难道都是为了这个瞬间而演的吗？	不，无论是我们还是神子大人都很认同你。背叛的人是你，鲁迪乌斯。
我没有背叛。我是相信特蕾兹阿姨才和你商量，而且我自认与你们重视的神子大人也处得很好。	……
特蕾兹阿姨，我母亲会怎么样？	……我会负起责任说服母亲大人。因为这次的事情与那件事，并没有关系。
我确实并非米里斯教徒，也与教皇有所联系……但这些事你们应该一开始就知道了吧？为什么事到如今才──	没有其他问题了吗？
最后，我的情报是根据『梦中出现的神下达的神谕』得来的吗？	不。是根据某个可信管道而来。我等不会采信那种来路不明的存在所说的话。
米里斯大人才不会下达神谕！	正因如此才是神。
即使下达了神谕，也非我等渺小的存在所能收到！	会以神子大人优先！
没错，如果不向神子大人知会一声，根本就不可能是米里斯大人！	米里斯大人才是神！
说得没错。各位，说得好……鲁迪乌斯。我们的信仰是绝对的。	……听到这句话我就安心了。
支援！	唔！
──微小的火星将会把巨大的恩惠燃烧殆尽！『火炎放射Flame Thrower』！	──以英武的冰之剑击落目标吧！『冰霜击Icicle Break！』
大地之精灵啊！请回应我的呼唤，从大地刺向天际！『土枪』！	雄伟的水之精灵，登上天空的雷帝之王子啊！以英武的冰之剑击落目标吧！『冰霜击』！
『乱魔Disturb Magic』！	！
鲁迪乌斯，我等在神殿骑士团当中也是最强的。你毫无胜算。	是这样吗？
鲁迪乌斯，投降吧！我事先声明，我们有对抗你拿手魔术的策略！尽管左手的魔道具出乎预料，但是也已经被我们识破了！	哦？
──准备抵销『泥沼』！	『流沙Sand Wave』！
……	……
你到底在想什么？	什么意思？
是骗人的吧？	没错，是骗你的。其实我读取了负责照顾我的人的记忆，知道特蕾兹他们想对你意图不轨，所以才出来的。
哦……这表示你是来帮我的？	是的。后来我出来外面，看到了你的眼睛，立刻就了解发生了什么事。
我站在你这边。我想成为你的力量。	……
神子，在相信你说的话之前，先回答我的问题。	当然。
把你身为神子的能力告诉我。	你不是已经晓得了吗？
我可以看到人们记忆的表层。	表层？
是的。可以看到那个人脑海中浮现的画面，以及些许相关的记忆。	那跟读心不是一样吗？
只能看而已吗？	是的，只能看而已。
有办法将心神丧失的人恢复到原本的状态吗？	没办法。不过若是与治愈魔术并用，或许有可能想出什么方法。
……所以并不是能读取对方内心的想法吧。	不过，有办法借此推敲。
鲁迪乌斯大人，你不会避开视线呢。	毕竟我没做什么亏心事。
这样好吗？就算不是亏心事，也会全都被我知道喔……	……
你看到了什么吗？	邪教……呃，嗯咳，你会举行一种不属于米里斯教的……那个，偏激，不，是不可思议的仪式呢……
那是我的灵魂Soul。	嗯……嗯嗯。
嗯咳，回到话题吧。	嗯咳，说得也是。
首先，到底为什么会发生这次的事件？神子大人，关于这次的事件，你认为谁才是主谋？	是教皇猊下，或是想要陷害猊下的枢机卿所为吧。我认为人神并没有涉入。
你的意思是与拉托雷亚家无关吗？	或许有遭到利用，但我认为并不是主谋。
为什么你会认为人神没有涉入？	如果真的是猊下听从人神的吩咐，这个行为对米里斯教徒来说会是非常严重的丑闻。虽然猊下其实是个坏人，但同时也是个虔诚的米里斯信徒。
不过，这种事你打算怎么判断？	只要看到眼睛，自然就会水落石出。
要是你无法信任我，就把我当成人质进行交涉，交换你想要的东西就好。	我手上的牌还不足以这么做。神殿骑士团应该已经做出对策。就算我把你当作筹码要求什么，到头来──
神殿骑士团……应该说排斥魔族的派系，非常明白要是我一死就会失去胜算。	也就是说，不管对方说什么，只要我以你的人身安全为筹码坚决交涉，就会完全接受我这边的要求吗？
神殿骑士团虽然是笨蛋，但也不至于无能。他们现在搞不好已经捉住爱夏并且问出了这个地方。不对，不用特地捉住也没关系。既然有在观察我的动向，应该马上就会注意到这里很可疑。当我为了提出要求而前往教团本部时，你也有可能被神殿骑士团救走。	那么，提出要求的时候我也一起去就行了吧？
虽然是很大胆的想法，但是也很有可能在路上被包围，直接展开总体战。	以鲁迪乌斯大人的实力，应该有办法将眼前的对手全部收拾吧？毕竟你在面对那位奥尔斯帝德大人及奥贝尔时，都能战得势均力敌。
而且，假使有人来袭，我想不会是神殿骑士团，而是教皇底下的人马。	这又是为什么？
搞不好神殿骑士团会用结界魔术还是什么的，设法把你安全夺回。	神殿骑士团当中，对付人类的能力最为出色的集团已经败在你的手上。以神殿骑士团的个性来看，照理来说应该不会再投入新的战力。因为实在太过危险。
可是我听说还有教导骑士团及圣堂骑士团啊？	那些人顶多只算是米里斯神圣国的骑士团。无法干预教团内部的事情。况且，教导骑士团现在并不在这个国家。
如果担心其他骑士团，我认为早点行动比较妥当。要是鲁迪乌斯大人的亲人真的被捉，时间一久不知道会遭受什么样的对待。	也对。
……那个，神子大人。	怎么了吗？
要是这样说没办法接受，请你认为我是对好不容易熟识的朋友，与感情已经十分融洽的部下互相残杀这点感到愤怒吧。	……
也可以说是你好几天都讲有趣的事情给我听，还帮我画了画的谢礼。米里斯大人也说过：『汝，不可徒失礼仪，不可忘恩负义』。	…………
况且鲁迪乌斯大人也是一眼就确信我不是敌人，所以才把我掳走的吧？	算是吧。
如果这次的事情能完美划下句点，没有留下任何遗恨……我会把艾莉丝带来的。	好的，麻烦你了。
是神子大人……	鲁迪乌斯带着神子大人出现了！
鲁迪乌斯大人，请绝对不要把手从我身上放开。	……
竟然对神子大人那么粗鲁……！	可恶的鲁迪乌斯……就连我都还没碰过神子大人……
队长，我们上吧……！与『圣坟守护者』战斗之后，不管是什么人，肯定不会剩下多少魔力。	慢着，他应该还有能对神子大人出手的力气。
神子大人，那是谁的手下？是人神的爪牙吗？	不，那是教皇猊下身边的人。与人神没有关系。他对这次事件似乎也不太清楚详情。
你说什么！	怎么可能让你这种人去见猊下！
……	怎么办……？
把路让开！	让开！
这样好吗？	……不。
如何，神子大人？	……特蕾兹似乎只是听从枢机卿的命令。卡莱尔大人没有跟我对上眼，所以不晓得。
真像是迷宫呢。	是的。为了在发生万一时，能让我和教皇大人安全逃脱，所以才盖成这样的。
没错！	神子大人对这条通道可是了若指掌！
还没到吗？走得太里面会令我很困扰的。	再一下就到了。
卡莱尔大人！您太失礼了！说话时至少该回头吧！	鲁迪乌斯可是抓着神子大人的手啊！
要是惹他不悦，万一神子大人出了什么事怎么办！	请看这个，这套铠甲上的凹痕！他可是拥有能将我等神殿骑士团的苍铠凹成这样的怪力啊！
有可能只是因为稍微不开心，就让神子大人的玉手留下丑陋的疤痕……	全都给我安静！
再一下就到了。	……好。
请进。	失礼了。
这次发生这样的事实在是非常遗憾。我万万没想到居然得挟持人质，做出让压倒性的超存在奥尔斯帝德大人颜面扫地的举动。可是，这也是为了替我自己保身、确保部下的安全，再加上今后的交涉所做的手段，望请各位理解。	压倒性的超……？
不过，诚如方才鲁迪乌斯先生所说，在场的人多半都不认识鲁迪乌斯先生。因此我希望让他们逐一自我介绍，可以吗？	……
不要紧。是我太操之过急了。	感谢……克里夫，麻烦你。
难道，你是贾尔加德先生的……	儿子。
──卡莱尔卿。	我刚才已经自我介绍过了，跳过我也无妨。
那么，鲁迪乌斯先生，首先，我认为应该要厘清事情的前后关系，你意下如何呢？	没关系。我也想知道究竟发生了什么事。
因此，我才会先下手为强。	原来如此……可是，与圣堂骑士团的证词有所出入呢。绑架与杀害，两者的含意有着很大的不同。
那么，拉托雷亚家……在听卡莱尔卿发言之前……先听听鲁迪乌斯先生怎么说吧，你意下如何？	……
没错，我确实曾脱口说出要绑架神子，但那终究只是一时气急攻心，加上身边的人也有制止，所以并没有付诸行动。	那么，你为什么要接近神子大人呢？
是为了解决与拉托雷亚家之间的问题，而找我的大姨特蕾兹商量。应该是这样才让我看起来像是要接近神子吧。	哦？可是，既然这样，那又为何真的绑架了神子大人呢？
我刚才也说过了，是为了保护自己的人身安全，才会做出以重要人士当挡箭牌的举动。当然，我也得到了神子大人的许可。	是真的吗？
可是既然这样，又是为何将他们全灭呢？照理来说，也能以沟通方式说服他们才是？	冷不防就被关进结界，进行了不容分说，莫名其妙的审判，还说要砍断我的双手。我没有不反抗的理由。
嗯，那么克蕾雅夫人，你有什么意见吗？	……
……没有异议！	没有异议！
没问题。	那么就依照惯例，将克蕾雅•拉托雷亚以煽动叛乱罪定罪，处以十年刑期。
请问有什么异议吗，鲁迪乌斯先生？	……十年吗？
是的。她掳走龙神大人的侧近鲁迪乌斯先生的家人，设计你袭击神子大人。	可是，那个……
……	看起来没有异议呢，那么，三名以上的司铎，以及三名以上的大队长进行的简易审判在此通过，以煽动叛乱罪的罪名，判处克蕾雅•拉托雷亚伯爵夫人十年刑期，另外，日后将对卡莱尔卿执行正式审判。
没有异议。	没有异议。
走吧，克蕾雅夫人。	我……我……
像这样逼迫一名年迈的女性，将其当作牺牲者的做法，米里斯大人是不会允许的！	区区一介神父，想对教团的正式决定提出议论，甚至自称米里斯大人的代言人吗！
那么，枢机卿是认为米里斯大人会允许这种事吗！丈夫抛弃了妻子，唯独孩子试图保护母亲时，一群人却围过来把母亲强行带走的这种行为！	虽然是孩子，但也只是丧失了心智的大人啊！
这种做法，你会满足吗？把神子当成人质，做出这种一点也不像你的方法，让你的亲祖母掉入陷阱，被打进大牢，你就满足了吗？	……
……	回答我！鲁迪乌斯•格雷拉特！是好，还是不好！根据你的回答，会决定我是否鄙视你！
克里夫学长……在回答你的问题之前，我可以先向克蕾雅夫人请教一个问题吗？	……？
是为了女儿，以及家族。	你是真的认为，强迫变成这个模样的女儿去结婚，真的是，为了女儿着想吗？
女儿，还有家族，哪边比较重要？	两者都是相同重要。
不需要勉强。我从没想过求你帮忙。如果为了女儿所做的事情得受到处罚，那我甘之如饴。	……你！
鲁迪乌斯大人。	怎么了？
请你帮帮她。	为什么？
克蕾雅大人是真的只为了女儿与家族着想。	如果只是想，任谁都能办到。
克蕾雅大人所思考的『家族』，也包含鲁迪乌斯大人在内喔。	这是什么意思？
克蕾雅夫人，关于神子大人所说的话，能麻烦你说明吗？我实在不太懂她的意思。	也没什么好说明的，我也不清楚她指的是什么意思。看来神子大人也是会说谎的吧。因为我根本就没考虑过你的立场。
克蕾雅，可以了，别再逞强了。	啊……啊啊，亲爱的……塞妮丝……塞妮丝她……
爱夏小姐，好久不见。今天……你是以哪种立场而来的？	咦？那个……就是，为了照顾塞妮丝夫人……而跟过来的。
没……没错！据说在大约两百年前，有名症状类似的女性……	然后那名女性，是不是因为这种行为，而被逐出村子？
……既然你知道，难不成试过了吗？	怎么可能。
那么，我所做的事情，全都是毫无意义呢……	确实是这样。
你明明先跟我说一声就好了啊。	……万一你不知道其他治疗法，有办法忍住不试吗？
克里夫学长，刚才那件事，你是什么时候听说的？	今天早上。因为我偶然遇见来到教团本部的他们。
……为什么你那个时候没有帮我阻止他们？克里夫学长也很清楚艾莉娜丽洁的经历吧？	关于治疗法的详细内容，他们只告诉我那是身为人所无法原谅的事情。
首先，请让神子大人看一下我母亲的记忆，确认是否能治好她。	当然没问题。毕竟我好像原本就有这个预定。
只不过，因为我没有办法恢复记忆，恐怕没办法治好她……	就算是这样也麻烦你。枢机卿猊下也不介意吧？
再来，这次的事情就当作没发生过。相对的，请全面协助『龙神』奥尔斯帝德。	当然没问题。
抱歉。	怎么突然这样说？
仔细想想，这次的绑架都是因为我不经意的发言引起的。最后虽然算是以好的方式收场，但我只是耍嘴皮子说些了不起的话，感觉反而把事情弄得更糟。	是这样吗？
我没有放在心上，你可以好好反省这次的事情，活用到下次机会。	嗯，我会这么做的。
不过话又说回来，哥哥，母亲回来了就表示……？	嗯，结束了。
不愧是神子大人……	依然是如此神圣……
鲁迪乌斯•格雷拉特。	是。
我看了塞妮丝•格雷拉特的记忆。	如何？
后来，她的记忆被封闭在漆黑的视野当中好一阵子。	……好一阵子吗？
作梦吗？	是的。作梦。她开始以一种宛如变成布偶的感觉生活。
……布偶？	不过，是很幸福的梦。
除此之外，还明白了一件事。	……？
要是被人知晓，势必会再次引起骚动，所以我建议你隐瞒这件事。	当然。不过，我好歹也是奥尔斯帝德的属下。会好好保护她的。
谢谢你。那么我想要求两个谢礼，可以吗？	是什么呢？
可以给我那个手环吗？	手环？
是的。	……可是，这个手环没办法取下，其他的东西不行吗？
神子大人，你的意思是想加入奥尔斯帝德大人的麾下吗？	是的。因为，我也不愿意自己在三十岁之前死掉。
那么，我这几天会把证明准备好。	感激不尽！这样就能活到五十岁了呢！
另一个是？	麻烦你帮特蕾兹减刑。再这样下去，她肯定会被降级调到边疆地带。
我明白了。	谢谢你。那么请在请愿书上签名。
是有关我所铸下的错误。	是。
这次我打算要做的事情，并不是身为人所能允许的。	是这样没错。
所以，还请处罚我。	处罚吗……？
是的，处罚。从你身边夺走塞妮丝，试图犯下残忍行径，请给予这种人应有的处罚。	光是赔罪还不够吗？
……你认为什么样的处罚比较好？	要以鞭子或棍棒打我也行，要砍断双手也没问题……甚至是索性杀了我也无所谓。
我明白了……那么……	……
请你改宗。	那是指与您加入相同宗教的意思吗？要我信仰魔族？
不是，失礼了。是我讲错话。你不必放弃米里斯教徒的身分。只要能舍弃排斥魔族的想法，我就感激不尽了。	是指整个拉托雷亚家吗？
只要克蕾雅夫人一个人就行。毕竟我的妻子里也有魔族，要是别人说她『肮脏』之类的我会不太舒服。还有，要是能认同我的宗教，也不过问我家的教育方针就再好不过了。	……
今后，克蕾雅•拉托雷亚将会转为迎合魔族的派系，不辞辛劳为此活动。而且信赖你，不会过问你的宗教以及教育方针，也不会让他人干预。	那就麻烦你了……不过，请别做得太过火，因为把想法强加在别人身上是种毒药。
我要说的就这些。	……感谢您的厚道。
当然也会把塞妮丝带回去吧。	是的，我会负起责任照顾母亲。
没能在最后看到诺伦，实在是很遗憾。	还会再来的。下次会带着诺伦，还有我的孩子一起。至于爱夏……可能不会来吧。
虽然不打算说长道短，但我很担心她的将来。	咦？不会，我想她没问题的。
是这样吗……我不禁会觉得，那孩子将来似乎会铸下无可挽回的错误。	不会有什么无可挽回的错误，就算真的发生了，我也会帮她的。她身边不仅有我，还有希露菲与洛琪希。根据状况，艾莉丝也会成为她可靠的援军。
可是……	一定会来的。
那么，来日再见。	是，鲁迪乌斯大人，也请你多多保重。
克里夫•格利摩尔驳倒了『龙神的左右手』鲁迪乌斯，救出了神子大人。	在教皇、枢机卿的争执中高揭正义，贯彻正道。
那么，克里夫学长。我先回去一趟了。	嗯……丽洁就拜托你了。
克里夫学长也是，还请千万别拈花惹草。米里斯大人在看着喔。	我才不可能那么做。况且，暂时也没有那种时间。
是真的吗？毕竟前辈最近可受欢迎呢。说不定会不小心温蒂推倒之类的。	温蒂就像是妹妹一样。又不是你，我怎么可能会出手。
若这不算是克里夫学长的力量，那到底是什么呢？	哈哈。
……不管怎么样，我先道个谢吧。多亏了你，我才稍微得到了认同。	彼此彼此，我能认识米里斯的各位也都要归功于你。而且佣兵团那边也设置好了。
接下来，我会一个人努力的。	嗯，请你加油。
这一个月来我没帮上什么忙，抱歉啊……	不会，请别放在心上。
不过，万一人神的爪牙对你做了什么，请立刻用石板传讯息通知。我会火速赶来的。	当然。
那么，克里夫学长……请多保重……	嗯，你也多保重啊。
话是这么说，不过我大概一年后就会再来露个脸也说不定。	到时，我就已经站到了可以堂堂正正介绍丽洁的地位喽。
……还有，到时候也会让你不再以前辈称呼我了。	呃，那已经是口头禅了，我想一辈子都改不了喔。
可以快点吗？	是……是的！
那个，我是神子！以前你曾救我一命，真的很谢谢你！	以前……？我不记得了！
所以，你的名字叫什么？因为鲁迪乌斯说今后也会受你关照，我要先记起来！	咦？
呃……那个……	神子就是指那个吧，和札诺巴一样的……所以，那不是名字对吧？
你这家伙！	神子大人就是神子大人！
你在愚弄她吗！	根本不需要名字！
抱歉。我没有名字。	哦……这样啊。
不过话说回来，真令人惊讶。因为我之前听说您并没有拜访米里斯。	因为我听说鲁迪乌斯又在害怕，所以才来的……那个，匆忙赶来的！
原来是这样，真不愧是艾莉丝大人！	哼哼，那当然。
那个，我一直很憧憬艾莉丝大人！	是……是吗？
想变成像我这样？	是的！我也想变得像艾莉丝大人一样帅气，像是用字遣词之类也是……咦？
你这家伙！	竟敢──！
……	…………
你试试看。	……咦？啊，是。
那个，我没办法像艾莉丝大人那样──	腰再蹲低一点，手肘力量放松，要意识到以背部动作。再一次。
……	……挥的时候要喊出声音，一、二、一、二！
手……已经……	是吗？那可以了，停下吧。
从明天开始，要每天都练。还有，在这座庭园也行，记得跑步。	咦？
就算是我……也办得到吗？	我想没问题的。尽管您不允许学习剑术与魔术，但如果只是锻炼身体……大家都会愿意一起指导您。
……嗳，我也可以摸吗？	是！当然可以。
您还满意吗？	鸟也不错呢。
那家伙叫什么名字？	咦？名字吗？
既然养了生物，取名字是常识啊。	是这样吗？
神子大人……	不如由我来。
不，我来。	说什么傻话，得由神子大人决定。
那个，出了什么事吗？	正在决定名字喔。
咦？我来决定好吗？	是，当然可以。
怎么了吗？	不，没事。
艾莉丝大人。今天真的很感谢你！	我还会再来的。到时再来看你。
你也年纪不小了。有关以女人身分投入工作这事，如今我也不会多说什么……但是你也差不多该定下来了吧？	这种话是母亲大人该说的吗？
除了我以外还有谁来说？我认为你也有你的想法，但我是以母亲的身分在担心你。	不，可是母亲大人……如果要结婚，你应该要先帮我找到对象啊。
你在说什么啊？不是你自己亲口说不必的吗？	……我有说过那种话吗？
『被卷入权力斗争而死，就是你所谓的幸福吗？』，这句话我可是记得一清二楚。	呜……这样一讲好像有说过。
因为我认为你有自己的想法，会靠自己找到，所以才会直到今天都没说什么。	是这样啊……
……	……
请让我收回那句话。	既然这样，就由我来找吧。我会找个配得上拉托雷亚家女儿的对象。
万……万事拜托……	真是的，你从以前就是这样。自己擅自决定，一旦状况有变就擅自认为对方也应该谅解你。听好了，特蕾兹，身为米里斯的淑女──
咦……？特……特蕾兹……大人？	请直呼我的名字。毕竟我们可是要成为夫妻的。
不，请等一下。	我不等……
副队长，这是什么意思！是在开我玩笑吗！	你说……开玩笑？
达斯克莱特……我就以这个名字称呼你吧。	特蕾兹……大人？
真是失态啊。达斯克莱特。想不到，你居然会被我知道真实身分。	……是。
说明清楚。为什么会变成这样？难道你没有确认过相亲对象的名字吗？	报告！是在下的失态。没想到副队……我误以为特蕾兹大人早已结婚，所以，那个，才会没仔细确认名字……
既然事情演变成这样，我除了以副队长的权限将你革职以外别无他法。否则的话，会害神子大人陷入险境。	……
副队长。那是，不可能的。	你说……不可能……？
若是会危害到神子大人，我会将家人赶尽杀绝。	……啥？
圣坟守护者」就是这样一群人的集合体	……
是！感谢您的夸赞！	记得今后别再发生这样的失态，平时就要随时绷紧神经。
不过，副队长的演技实在很精湛。我都打了冷颤呢。	……你打了冷颤吗？
是深深吸引。	……咦？
不然，要我真的和你结婚也是可以。不，应该要这么做吧？你是糊涂的男人。难保你不会再重蹈覆辙。要是和我结婚，起码就不会再有相亲找上门了嘛。	不，那个……
今天彼此都没有值班，但是从明天开始又要继续神子大人的护卫任务。可别迟到啊。	……是。
我下次也会加油。	就是这股气势。特蕾兹。虽说你工作也很忙，但为了被人以淑女看待，记得要持续精进，训练自己。
首先，这个嘛……我是人神的代理人。	代理人？
人神会实现你的愿望。相对的，因为他有件小事想做，目前正在招兵买马。至于我嘛，简单来说就是仆人，被他任命站在第一线指挥召集过来的人马。	哈，愿望是吗……你们，知道我的愿望是什么吗？
你的愿望是打倒龙神奥尔斯帝德。过去在他手下败北，从此你以最强为目标持续修行，后来你是抵达了某个阶段的终点，但回过神来却被束缚给绑得死死的，甚至不再思考要去挑战的目标，最强的敌人。	人神的目标也是奥尔斯帝德。只不过，人神是希望奥尔斯帝德去死，而不是打倒他。而且是不择一切手段。
你呢，就是那个手段。抱歉，凭你一个人是赢不了的，所以我还会再找几个人。	喂喂，别摆出那么可怕的表情啦。我有说错什么吗？你应该也知道吧？你自己一个，是赢不了奥尔斯帝德的。
但是，即使如此你还是会想挑战。你应该一直都想这么做。否则，就不会离开长年居住的家，抛弃长年依靠的事物，甚至连家人也丢下不管，过着这种流浪生活。以你的本领，不论是在阿斯拉王国也好王龙王国也罢，肯定能找个满意的地方仕官。应该也能去想去的地方才对。我有说错吗？啊？	我能给你的，是挑战奥尔斯帝德的权利。就算你再这样一辈子流浪下去，搞不好也遇不到奥尔斯帝德。就算去挑战，对方八成也是不理不睬，让你吃闭门羹。但如果是我，就能帮你准备最棒的舞台。能帮你创造出一个奥尔斯帝德既逃不了也躲不了，只能与你战斗的状况。
慢着，我知道。我知道的。你想这么说对吧？『自己没有挑战的资格』	确实，你在输给奥尔斯帝德时，应该已经下定决心。不会再输第二次。不管是奥尔斯帝德，还是其他家伙，你都绝不会输。实际上，你直到最近一直是战无不胜。每个家伙都被你碎尸万段。
……不对。	是啊，不对！当然不对！大错特错！
你应该要去挑战。不管是可能会赢还是可能会输或是能力不足甚至是身体状况不佳都没关系。这样反而好啊，反而更好不是吗？长久以来束缚你的枷锁已经解开了。你就别想那么多去挑战看看吧？	结果说不定是以难看败北收尾，但是那又怎样？继续漫无目的地到处徬徨，总有一天上了年纪衰老而死，这样子好吗？你不是那种小角色吧？
你想让他实现什么愿望？促使你行动的理由是什么？	理由……？
那当然是因为，基于我对人神大爷虔诚的──	可别说是为了信仰什么的无聊答案啊。
那么，我该做什么才好？当你的护卫就行了吗？	不……
她去学校了。	可是我听说今天放假耶？
回来之后，再帮我跟她说饭已经煮好了喔。	好喔～
老师，你今天有空闲吗？	是啊，学校休假。鲁迪今天也休息吗？
那么这位美丽的大小姐，请问您上午是否要与在下约会呢？	……
是的，让我们两人骑着马，到镇外的小河畔倾诉爱意如何？	……好啊。
师傅。	鲁迪，师傅这种叫法……不，怎么了弟子？如果是想从背后摸胸部的愿望我可不受理喔。
